"Object_Area_um2","CellSeedingDensity","ReporterGroup","Replicate"
80.8163,250,"POS",1
744.665,250,"POS",1
352.128,250,"POS",1
207.813,250,"POS",1
346.356,250,"POS",1
525.306,250,"POS",1
253.994,250,"POS",1
559.942,250,"POS",1
386.764,250,"POS",1
663.848,250,"POS",1
888.98,250,"POS",1
311.72,250,"POS",1
5512.83,250,"POS",1
409.854,250,"POS",1
334.81,250,"POS",1
23.0904,250,"POS",1
10050.1,250,"POS",1
294.402,250,"POS",1
848.571,250,"POS",1
23.0904,250,"POS",1
317.493,250,"POS",1
46.1808,250,"POS",1
28.863,250,"POS",1
1477.78,250,"POS",1
7048.34,250,"POS",1
51.9533,250,"POS",1
473.353,250,"POS",1
219.359,250,"POS",1
75.0437,250,"POS",1
1275.74,250,"POS",1
16613.5,250,"POS",1
6372.94,250,"POS",1
398.309,250,"POS",1
14419.9,250,"POS",1
92.3615,250,"POS",1
2228.22,250,"POS",1
658.076,250,"POS",1
2464.9,250,"POS",1
23.0904,250,"POS",1
525.306,250,"POS",1
173.178,250,"POS",1
456.035,250,"POS",1
346.356,250,"POS",1
225.131,250,"POS",1
86.5889,250,"POS",1
150.087,250,"POS",1
369.446,250,"POS",1
115.452,250,"POS",1
329.038,250,"POS",1
6915.57,250,"POS",1
1189.15,250,"POS",1
1200.7,250,"POS",1
329.038,250,"POS",1
1218.02,250,"POS",1
415.627,250,"POS",1
398.309,250,"POS",1
698.484,250,"POS",1
155.86,250,"POS",1
1096.79,250,"POS",1
808.163,250,"POS",1
1091.02,250,"POS",1
126.997,250,"POS",1
1691.37,250,"POS",1
196.268,250,"POS",1
150.087,250,"POS",1
744.665,250,"POS",1
115.452,250,"POS",1
75.0437,250,"POS",1
1114.11,250,"POS",1
277.085,250,"POS",1
75.0437,250,"POS",1
1269.97,250,"POS",1
513.761,250,"POS",1
334.81,250,"POS",1
409.854,250,"POS",1
69.2711,250,"POS",1
559.942,250,"POS",1
421.399,250,"POS",1
975.568,250,"POS",1
329.038,250,"POS",1
271.312,250,"POS",1
340.583,250,"POS",1
611.895,250,"POS",1
571.487,250,"POS",1
305.947,250,"POS",1
594.577,250,"POS",1
323.265,250,"POS",1
253.994,250,"POS",1
103.907,250,"POS",1
207.813,250,"POS",1
600.35,250,"POS",1
1824.14,250,"POS",1
150.087,250,"POS",1
161.633,250,"POS",1
848.571,250,"POS",1
1183.38,250,"POS",1
305.947,250,"POS",1
623.44,250,"POS",1
248.222,250,"POS",1
1627.87,250,"POS",1
652.303,250,"POS",1
1050.61,250,"POS",1
5333.88,250,"POS",1
1264.2,250,"POS",1
98.1341,250,"POS",1
23.0904,250,"POS",1
219.359,250,"POS",1
363.673,250,"POS",1
190.496,250,"POS",1
2280.17,250,"POS",1
305.947,250,"POS",1
467.58,250,"POS",1
184.723,250,"POS",1
340.583,250,"POS",1
98.1341,250,"POS",1
1593.24,250,"POS",1
490.671,250,"POS",1
4583.44,250,"POS",1
1108.34,250,"POS",1
1044.84,250,"POS",1
600.35,250,"POS",1
173.178,250,"POS",1
1206.47,250,"POS",1
975.568,250,"POS",1
640.758,250,"POS",1
588.805,250,"POS",1
3024.84,250,"POS",1
150.087,250,"POS",1
6465.31,250,"POS",1
8578.07,250,"POS",1
46.1808,250,"POS",1
386.764,250,"POS",1
790.845,250,"POS",1
484.898,250,"POS",1
404.082,250,"POS",1
329.038,250,"POS",1
796.618,250,"POS",1
513.761,250,"POS",1
1777.96,250,"POS",1
86.5889,250,"POS",1
6823.21,250,"POS",1
998.659,250,"POS",1
103.907,250,"POS",1
1345.01,250,"POS",1
773.528,250,"POS",1
640.758,250,"POS",1
2245.54,250,"POS",1
813.936,250,"POS",1
2228.22,250,"POS",1
28.863,250,"POS",1
767.755,250,"POS",1
4421.81,250,"POS",1
4289.04,250,"POS",1
767.755,250,"POS",1
265.539,250,"POS",1
583.032,250,"POS",1
80.8163,250,"POS",1
5818.77,250,"POS",1
242.449,250,"POS",1
2176.27,250,"POS",1
594.577,250,"POS",1
738.892,250,"POS",1
202.041,250,"POS",1
5045.25,250,"POS",1
57.7259,250,"POS",1
51.9533,250,"POS",1
98.1341,250,"POS",1
507.988,250,"POS",1
23.0904,250,"POS",1
357.901,250,"POS",1
178.95,250,"POS",1
190.496,250,"POS",1
10621.6,250,"POS",1
138.542,250,"POS",1
502.216,250,"POS",1
837.026,250,"POS",1
1610.55,250,"POS",1
57.7259,250,"POS",1
14368,250,"POS",1
1039.07,250,"POS",1
2886.3,250,"POS",1
103.907,250,"POS",1
28.863,250,"POS",1
86.5889,250,"POS",1
86.5889,250,"POS",1
346.356,250,"POS",1
392.536,250,"POS",1
571.487,250,"POS",1
115.452,250,"POS",1
1206.47,250,"POS",1
219.359,250,"POS",1
63.4985,250,"POS",1
1466.24,250,"POS",1
184.723,250,"POS",1
750.437,250,"POS",1
467.58,250,"POS",1
444.49,250,"POS",1
219.359,250,"POS",1
507.988,250,"POS",1
317.493,250,"POS",1
929.388,250,"POS",1
271.312,250,"POS",1
184.723,250,"POS",1
207.813,250,"POS",1
1437.38,250,"POS",1
565.714,250,"POS",1
623.44,250,"POS",1
196.268,250,"POS",1
1183.38,250,"POS",1
248.222,250,"POS",1
132.77,250,"POS",1
132.77,250,"POS",1
340.583,250,"POS",1
785.073,250,"POS",1
386.764,250,"POS",1
34.6356,250,"POS",1
669.621,250,"POS",1
1056.38,250,"POS",1
629.213,250,"POS",1
877.434,250,"POS",1
1027.52,250,"POS",1
5385.83,250,"POS",1
658.076,250,"POS",1
588.805,250,"POS",1
305.947,250,"POS",1
259.767,250,"POS",1
554.169,250,"POS",1
1460.47,250,"POS",1
6118.95,250,"POS",1
565.714,250,"POS",1
202.041,250,"POS",1
4797.03,250,"POS",1
75.0437,250,"POS",1
323.265,250,"POS",1
23783.1,250,"POS",1
352.128,250,"POS",1
1264.2,250,"POS",1
259.767,250,"POS",1
144.315,250,"POS",1
334.81,250,"POS",1
11810.7,250,"POS",1
23159.6,250,"POS",1
1108.34,250,"POS",1
178.95,250,"POS",1
1881.87,250,"POS",1
202.041,250,"POS",1
34.6356,250,"POS",1
259.767,250,"POS",1
277.085,250,"POS",1
202.041,250,"POS",1
1396.97,250,"POS",1
28.863,250,"POS",1
894.752,250,"POS",1
207.813,250,"POS",1
542.624,250,"POS",1
334.81,250,"POS",1
334.81,250,"POS",1
802.391,250,"POS",1
386.764,250,"POS",1
1142.97,250,"POS",1
773.528,250,"POS",1
1010.2,250,"POS",1
161.633,250,"POS",1
173.178,250,"POS",1
13398.2,250,"POS",1
513.761,250,"POS",1
375.219,250,"POS",1
282.857,250,"POS",1
4375.63,250,"POS",1
207.813,250,"POS",1
1460.47,250,"POS",1
496.443,250,"POS",1
790.845,250,"POS",1
265.539,250,"POS",1
144.315,250,"POS",1
98.1341,250,"POS",1
819.708,250,"POS",1
2285.95,250,"POS",1
57.7259,250,"POS",1
126.997,250,"POS",1
23.0904,250,"POS",1
305.947,250,"POS",1
34.6356,250,"POS",1
23.0904,250,"POS",1
40.4082,250,"POS",1
375.219,250,"POS",1
727.347,250,"POS",1
80.8163,250,"POS",1
121.224,250,"POS",1
4179.36,250,"POS",1
2003.09,250,"POS",1
63.4985,250,"POS",1
1154.52,250,"POS",1
46.1808,250,"POS",1
1956.91,250,"POS",1
86.5889,250,"POS",1
282.857,250,"POS",1
248.222,250,"POS",1
14333.4,250,"POS",1
34.6356,250,"POS",1
46.1808,250,"POS",1
380.991,250,"POS",1
4999.07,250,"POS",1
132.77,250,"POS",1
23.0904,250,"POS",1
444.49,250,"POS",1
75.0437,250,"POS",1
617.668,250,"POS",1
230.904,250,"POS",1
11978.1,250,"POS",1
681.166,250,"POS",1
681.166,250,"POS",1
121.224,250,"POS",1
1194.93,250,"POS",1
808.163,250,"POS",1
196.268,250,"POS",1
51.9533,250,"POS",1
