"Object_Area_um2","CellSeedingDensity","ReporterGroup","Replicate"
51.9533,1000,"POS",2
23.0904,1000,"POS",2
184.723,1000,"POS",2
248.222,1000,"POS",2
2118.54,1000,"POS",2
69.2711,1000,"POS",2
23153.9,1000,"POS",2
12491.9,1000,"POS",2
16371.1,1000,"POS",2
554.169,1000,"POS",2
33833.2,1000,"POS",2
623.44,1000,"POS",2
56571.4,1000,"POS",2
375.219,1000,"POS",2
23.0904,1000,"POS",2
7931.54,1000,"POS",2
225.131,1000,"POS",2
57.7259,1000,"POS",2
733.119,1000,"POS",2
46.1808,1000,"POS",2
51.9533,1000,"POS",2
3440.47,1000,"POS",2
46.1808,1000,"POS",2
6136.27,1000,"POS",2
837.026,1000,"POS",2
5443.56,1000,"POS",2
409.854,1000,"POS",2
1281.52,1000,"POS",2
415.627,1000,"POS",2
8722.39,1000,"POS",2
35922.9,1000,"POS",2
30479.3,1000,"POS",2
300.175,1000,"POS",2
1645.19,1000,"POS",2
906.297,1000,"POS",2
1547.06,1000,"POS",2
126.997,1000,"POS",2
2643.85,1000,"POS",2
282.857,1000,"POS",2
23.0904,1000,"POS",2
46.1808,1000,"POS",2
178.95,1000,"POS",2
167.405,1000,"POS",2
2638.08,1000,"POS",2
225.131,1000,"POS",2
34.6356,1000,"POS",2
7885.36,1000,"POS",2
692.711,1000,"POS",2
7267.7,1000,"POS",2
9663.32,1000,"POS",2
190.496,1000,"POS",2
311.72,1000,"POS",2
6626.94,1000,"POS",2
248.222,1000,"POS",2
1137.2,1000,"POS",2
19869.3,1000,"POS",2
438.717,1000,"POS",2
98.1341,1000,"POS",2
27010,1000,"POS",2
138.542,1000,"POS",2
4427.58,1000,"POS",2
513.761,1000,"POS",2
17877.7,1000,"POS",2
380.991,1000,"POS",2
103.907,1000,"POS",2
184.723,1000,"POS",2
681.166,1000,"POS",2
248.222,1000,"POS",2
1056.38,1000,"POS",2
98.1341,1000,"POS",2
761.982,1000,"POS",2
2303.27,1000,"POS",2
14304.5,1000,"POS",2
8531.89,1000,"POS",2
34.6356,1000,"POS",2
340.583,1000,"POS",2
230.904,1000,"POS",2
513.761,1000,"POS",2
427.172,1000,"POS",2
7400.47,1000,"POS",2
450.262,1000,"POS",2
109.679,1000,"POS",2
34.6356,1000,"POS",2
467.58,1000,"POS",2
207.813,1000,"POS",2
363.673,1000,"POS",2
294.402,1000,"POS",2
277.085,1000,"POS",2
12428.4,1000,"POS",2
2349.45,1000,"POS",2
1564.37,1000,"POS",2
352.128,1000,"POS",2
652.303,1000,"POS",2
92.3615,1000,"POS",2
467.58,1000,"POS",2
796.618,1000,"POS",2
738.892,1000,"POS",2
8104.72,1000,"POS",2
1720.23,1000,"POS",2
305.947,1000,"POS",2
155.86,1000,"POS",2
2591.89,1000,"POS",2
42284.3,1000,"POS",2
190.496,1000,"POS",2
1610.55,1000,"POS",2
46.1808,1000,"POS",2
219.359,1000,"POS",2
4987.52,1000,"POS",2
40.4082,1000,"POS",2
225.131,1000,"POS",2
150.087,1000,"POS",2
623.44,1000,"POS",2
1183.38,1000,"POS",2
173.178,1000,"POS",2
617.668,1000,"POS",2
548.396,1000,"POS",2
877.434,1000,"POS",2
721.574,1000,"POS",2
409.854,1000,"POS",2
277.085,1000,"POS",2
4087,1000,"POS",2
588.805,1000,"POS",2
484.898,1000,"POS",2
63.4985,1000,"POS",2
14419.9,1000,"POS",2
5587.87,1000,"POS",2
21306.6,1000,"POS",2
98.1341,1000,"POS",2
10552.3,1000,"POS",2
4364.08,1000,"POS",2
317.493,1000,"POS",2
3994.64,1000,"POS",2
7833.41,1000,"POS",2
34.6356,1000,"POS",2
13877.3,1000,"POS",2
75.0437,1000,"POS",2
1414.29,1000,"POS",2
155.86,1000,"POS",2
33735,1000,"POS",2
669.621,1000,"POS",2
30375.4,1000,"POS",2
502.216,1000,"POS",2
9351.6,1000,"POS",2
80.8163,1000,"POS",2
6355.63,1000,"POS",2
4825.89,1000,"POS",2
167.405,1000,"POS",2
178.95,1000,"POS",2
5143.38,1000,"POS",2
11141.1,1000,"POS",2
109.679,1000,"POS",2
4173.59,1000,"POS",2
21468.3,1000,"POS",2
51.9533,1000,"POS",2
2747.75,1000,"POS",2
86.5889,1000,"POS",2
150.087,1000,"POS",2
796.618,1000,"POS",2
461.808,1000,"POS",2
57.7259,1000,"POS",2
6320.99,1000,"POS",2
138.542,1000,"POS",2
1916.5,1000,"POS",2
1356.56,1000,"POS",2
4733.53,1000,"POS",2
559.942,1000,"POS",2
138.542,1000,"POS",2
57.7259,1000,"POS",2
987.114,1000,"POS",2
4439.12,1000,"POS",2
1021.75,1000,"POS",2
3700.23,1000,"POS",2
236.676,1000,"POS",2
184.723,1000,"POS",2
363.673,1000,"POS",2
248.222,1000,"POS",2
323.265,1000,"POS",2
98.1341,1000,"POS",2
271.312,1000,"POS",2
184.723,1000,"POS",2
173.178,1000,"POS",2
282.857,1000,"POS",2
7596.73,1000,"POS",2
444.49,1000,"POS",2
8635.8,1000,"POS",2
92.3615,1000,"POS",2
7031.02,1000,"POS",2
8641.57,1000,"POS",2
981.341,1000,"POS",2
4906.71,1000,"POS",2
3198.02,1000,"POS",2
1760.64,1000,"POS",2
92.3615,1000,"POS",2
1362.33,1000,"POS",2
305.947,1000,"POS",2
2401.4,1000,"POS",2
357.901,1000,"POS",2
