"Object_Area_um2","CellSeedingDensity","ReporterGroup","Replicate"
773.528,63,"NEG",3
265.539,63,"NEG",3
23.0904,63,"NEG",3
121.224,63,"NEG",3
34.6356,63,"NEG",3
785.073,63,"NEG",3
375.219,63,"NEG",3
357.901,63,"NEG",3
242.449,63,"NEG",3
369.446,63,"NEG",3
103.907,63,"NEG",3
98.1341,63,"NEG",3
3313.47,63,"NEG",3
282.857,63,"NEG",3
23.0904,63,"NEG",3
421.399,63,"NEG",3
259.767,63,"NEG",3
173.178,63,"NEG",3
219.359,63,"NEG",3
190.496,63,"NEG",3
23.0904,63,"NEG",3
28.863,63,"NEG",3
92.3615,63,"NEG",3
80.8163,63,"NEG",3
63.4985359061,63,"NEG",3
594.577,63,"NEG",3
230.904,63,"NEG",3
611.895,63,"NEG",3
28.863,63,"NEG",3
23.0904,63,"NEG",3
69.2711,63,"NEG",3
69.2711,63,"NEG",3
63.4985,63,"NEG",3
207.813,63,"NEG",3
46.1808,63,"NEG",3
51.9533,63,"NEG",3
75.0437,63,"NEG",3
253.994,63,"NEG",3
2487.99,63,"NEG",3
46.1808,63,"NEG",3
115.452,63,"NEG",3
34.6356,63,"NEG",3
300.175,63,"NEG",3
1333.47,63,"NEG",3
28.863,63,"NEG",3
346.356,63,"NEG",3
34.6356,63,"NEG",3
219.359,63,"NEG",3
230.904,63,"NEG",3
248.222,63,"NEG",3
1183.38,63,"NEG",3
126.997,63,"NEG",3
23.0904,63,"NEG",3
63.4985,63,"NEG",3
207.813,63,"NEG",3
92.3615,63,"NEG",3
92.3615,63,"NEG",3
155.86,63,"NEG",3
1547.06,63,"NEG",3
265.539,63,"NEG",3
253.994,63,"NEG",3
242.449,63,"NEG",3
675.394,63,"NEG",3
132.77,63,"NEG",3
531.079,63,"NEG",3
132.77,63,"NEG",3
5605.19,63,"NEG",3
17000.3,63,"NEG",3
352.128,63,"NEG",3
69.2711,63,"NEG",3
132.77,63,"NEG",3
40.4082,63,"NEG",3
300.175,63,"NEG",3
329.038,63,"NEG",3
126.997,63,"NEG",3
340.583,63,"NEG",3
577.259,63,"NEG",3
837.026,63,"NEG",3
311.72,63,"NEG",3
