"Object_Area_um2","CellSeedingDensity","ReporterGroup","Replicate"
7250.38,1000,"NEG",4
4554.58,1000,"NEG",4
1506.65,1000,"NEG",4
248.222,1000,"NEG",4
11776.1,1000,"NEG",4
4375.63,1000,"NEG",4
86.5889,1000,"NEG",4
207.813,1000,"NEG",4
3936.91,1000,"NEG",4
178.95,1000,"NEG",4
103.907,1000,"NEG",4
1610.55,1000,"NEG",4
750.437,1000,"NEG",4
363.673,1000,"NEG",4
13704.1,1000,"NEG",4
8081.63,1000,"NEG",4
1420.06,1000,"NEG",4
213.586,1000,"NEG",4
40.4082,1000,"NEG",4
479.125,1000,"NEG",4
92.3615,1000,"NEG",4
23.0904,1000,"NEG",4
3538.6,1000,"NEG",4
1125.66,1000,"NEG",4
8260.58,1000,"NEG",4
2926.71,1000,"NEG",4
282.857,1000,"NEG",4
34.6356,1000,"NEG",4
282.857,1000,"NEG",4
1783.73,1000,"NEG",4
6909.8,1000,"NEG",4
57.7259,1000,"NEG",4
7481.28,1000,"NEG",4
323.265,1000,"NEG",4
2695.8,1000,"NEG",4
31581.9,1000,"NEG",4
132.77,1000,"NEG",4
23.0904,1000,"NEG",4
34.6356,1000,"NEG",4
9467.05,1000,"NEG",4
340.583,1000,"NEG",4
92.3615,1000,"NEG",4
196.268,1000,"NEG",4
7273.47,1000,"NEG",4
161.633,1000,"NEG",4
19055.3,1000,"NEG",4
144.315,1000,"NEG",4
80.8163,1000,"NEG",4
80.8163,1000,"NEG",4
98.1341,1000,"NEG",4
242.449,1000,"NEG",4
398.309,1000,"NEG",4
109.679,1000,"NEG",4
3775.28,1000,"NEG",4
6713.53,1000,"NEG",4
2314.81,1000,"NEG",4
69.2711,1000,"NEG",4
173.178,1000,"NEG",4
3521.28,1000,"NEG",4
479.125,1000,"NEG",4
155.86,1000,"NEG",4
190.496,1000,"NEG",4
594.577,1000,"NEG",4
132.77,1000,"NEG",4
132.77,1000,"NEG",4
5784.14,1000,"NEG",4
2453.35,1000,"NEG",4
542.624,1000,"NEG",4
594.577,1000,"NEG",4
681.166,1000,"NEG",4
3700.23,1000,"NEG",4
1189.15,1000,"NEG",4
3336.56,1000,"NEG",4
11239.2,1000,"NEG",4
369.446,1000,"NEG",4
213.586,1000,"NEG",4
144.315,1000,"NEG",4
1027.52,1000,"NEG",4
386.764,1000,"NEG",4
282.857,1000,"NEG",4
132.77,1000,"NEG",4
629.213,1000,"NEG",4
5027.93,1000,"NEG",4
300.175,1000,"NEG",4
230.904,1000,"NEG",4
155.86,1000,"NEG",4
248.222,1000,"NEG",4
121.224,1000,"NEG",4
375.219,1000,"NEG",4
329.038,1000,"NEG",4
196.268,1000,"NEG",4
681.166,1000,"NEG",4
8722.39,1000,"NEG",4
34.6356,1000,"NEG",4
50215.8,1000,"NEG",4
288.63,1000,"NEG",4
51.9533,1000,"NEG",4
4421.81,1000,"NEG",4
109.679,1000,"NEG",4
63.4985,1000,"NEG",4
98.1341,1000,"NEG",4
57.7259,1000,"NEG",4
213.586,1000,"NEG",4
109.679,1000,"NEG",4
178.95,1000,"NEG",4
450.262,1000,"NEG",4
300.175,1000,"NEG",4
132.77,1000,"NEG",4
69.2711,1000,"NEG",4
173.178,1000,"NEG",4
623.44,1000,"NEG",4
288.63,1000,"NEG",4
490.671,1000,"NEG",4
253.994,1000,"NEG",4
1321.92,1000,"NEG",4
779.3,1000,"NEG",4
1645.19,1000,"NEG",4
236.676,1000,"NEG",4
456.035,1000,"NEG",4
1662.51,1000,"NEG",4
51.9533,1000,"NEG",4
548.396,1000,"NEG",4
