"Object_Area_um2","CellSeedingDensity","ReporterGroup","Replicate"
11429.7,500,"NEG",5
225.131,500,"NEG",5
23.0904,500,"NEG",5
681.166,500,"NEG",5
779.3,500,"NEG",5
178.95,500,"NEG",5
554.169,500,"NEG",5
386.764,500,"NEG",5
779.3,500,"NEG",5
1062.16,500,"NEG",5
1523.96,500,"NEG",5
225.131,500,"NEG",5
888.98,500,"NEG",5
92.3615,500,"NEG",5
2718.89,500,"NEG",5
1420.06,500,"NEG",5
46.1808,500,"NEG",5
6811.66,500,"NEG",5
248.222,500,"NEG",5
5859.18,500,"NEG",5
409.854,500,"NEG",5
507.988,500,"NEG",5
363.673,500,"NEG",5
225.131,500,"NEG",5
2280.17,500,"NEG",5
819.708,500,"NEG",5
2187.81,500,"NEG",5
640.758,500,"NEG",5
121.224,500,"NEG",5
184.723,500,"NEG",5
334.81,500,"NEG",5
161.633,500,"NEG",5
40.4082,500,"NEG",5
300.175,500,"NEG",5
311.72,500,"NEG",5
236.676,500,"NEG",5
150.087,500,"NEG",5
802.391,500,"NEG",5
115.452,500,"NEG",5
173.178,500,"NEG",5
6499.94,500,"NEG",5
825.481,500,"NEG",5
1044.84,500,"NEG",5
450.262,500,"NEG",5
663.848,500,"NEG",5
5524.37,500,"NEG",5
161.633,500,"NEG",5
467.58,500,"NEG",5
525.306,500,"NEG",5
277.085,500,"NEG",5
519.533,500,"NEG",5
15972.8,500,"NEG",5
3936.91,500,"NEG",5
340.583,500,"NEG",5
259.767,500,"NEG",5
196.268,500,"NEG",5
242.449,500,"NEG",5
698.484,500,"NEG",5
1275.74,500,"NEG",5
4623.85,500,"NEG",5
15499.4,500,"NEG",5
138.542,500,"NEG",5
184.723,500,"NEG",5
733.119,500,"NEG",5
161.633,500,"NEG",5
80.8163,500,"NEG",5
207.813,500,"NEG",5
600.35,500,"NEG",5
1668.28,500,"NEG",5
380.991,500,"NEG",5
161.633,500,"NEG",5
4115.86,500,"NEG",5
490.671,500,"NEG",5
888.98,500,"NEG",5
69.2711,500,"NEG",5
75.0437,500,"NEG",5
519.533,500,"NEG",5
5131.84,500,"NEG",5
583.032,500,"NEG",5
103.907,500,"NEG",5
213.586,500,"NEG",5
571.487,500,"NEG",5
669.621,500,"NEG",5
1177.61,500,"NEG",5
600.35,500,"NEG",5
4196.68,500,"NEG",5
115.452,500,"NEG",5
109.679,500,"NEG",5
421.399,500,"NEG",5
715.802,500,"NEG",5
900.525,500,"NEG",5
115.452,500,"NEG",5
126.997,500,"NEG",5
4340.99,500,"NEG",5
617.668,500,"NEG",5
790.845,500,"NEG",5
1420.06,500,"NEG",5
1904.96,500,"NEG",5
9553.64,500,"NEG",5
900.525,500,"NEG",5
40.4082,500,"NEG",5
1171.84,500,"NEG",5
236.676,500,"NEG",5
1148.75,500,"NEG",5
525.306,500,"NEG",5
357.901,500,"NEG",5
507.988,500,"NEG",5
34.6356,500,"NEG",5
2586.12,500,"NEG",5
484.898,500,"NEG",5
9721.05,500,"NEG",5
115.452,500,"NEG",5
277.085,500,"NEG",5
565.714,500,"NEG",5
202.041,500,"NEG",5
75.0437,500,"NEG",5
23.0904,500,"NEG",5
346.356,500,"NEG",5
9911.54,500,"NEG",5
467.58,500,"NEG",5
6280.58,500,"NEG",5
207.813,500,"NEG",5
8006.59,500,"NEG",5
1004.43,500,"NEG",5
213.586,500,"NEG",5
675.394,500,"NEG",5
3936.91,500,"NEG",5
2701.57,500,"NEG",5
167.405,500,"NEG",5
1529.74,500,"NEG",5
2332.13,500,"NEG",5
1495.1,500,"NEG",5
1443.15,500,"NEG",5
253.994,500,"NEG",5
6609.62,500,"NEG",5
144.315,500,"NEG",5
606.122,500,"NEG",5
28.863,500,"NEG",5
