"Object_Area_um2","CellSeedingDensity","ReporterGroup","Replicate"
11851.1,500,"NEG",6
409.854,500,"NEG",6
184.723,500,"NEG",6
721.574,500,"NEG",6
940.933,500,"NEG",6
202.041,500,"NEG",6
202.041,500,"NEG",6
854.344,500,"NEG",6
271.312,500,"NEG",6
155.86,500,"NEG",6
837.026,500,"NEG",6
202.041,500,"NEG",6
311.72,500,"NEG",6
1091.02,500,"NEG",6
5212.65,500,"NEG",6
51.9533,500,"NEG",6
444.49,500,"NEG",6
236.676,500,"NEG",6
646.531,500,"NEG",6
1154.52,500,"NEG",6
2147.41,500,"NEG",6
577.259,500,"NEG",6
744.665,500,"NEG",6
1523.96,500,"NEG",6
5622.51,500,"NEG",6
109.679,500,"NEG",6
51.9533,500,"NEG",6
744.665,500,"NEG",6
409.854,500,"NEG",6
594.577,500,"NEG",6
225.131,500,"NEG",6
115.452,500,"NEG",6
894.752,500,"NEG",6
623.44,500,"NEG",6
409.854,500,"NEG",6
2337.9,500,"NEG",6
92.3615,500,"NEG",6
1835.68,500,"NEG",6
392.536,500,"NEG",6
917.842,500,"NEG",6
207.813,500,"NEG",6
375.219,500,"NEG",6
519.533,500,"NEG",6
5333.88,500,"NEG",6
207.813,500,"NEG",6
912.07,500,"NEG",6
848.571,500,"NEG",6
138.542,500,"NEG",6
334.81,500,"NEG",6
323.265,500,"NEG",6
115.452,500,"NEG",6
525.306,500,"NEG",6
75.0437,500,"NEG",6
421.399,500,"NEG",6
1062.16,500,"NEG",6
1650.96,500,"NEG",6
542.624,500,"NEG",6
317.493,500,"NEG",6
5241.52,500,"NEG",6
305.947,500,"NEG",6
923.615,500,"NEG",6
1062.16,500,"NEG",6
150.087,500,"NEG",6
11083.4,500,"NEG",6
213.586,500,"NEG",6
28.863,500,"NEG",6
57.7259,500,"NEG",6
23.0904,500,"NEG",6
253.994,500,"NEG",6
46.1808,500,"NEG",6
132.77,500,"NEG",6
40.4082,500,"NEG",6
207.813,500,"NEG",6
409.854,500,"NEG",6
421.399,500,"NEG",6
432.945,500,"NEG",6
63.4985,500,"NEG",6
57.7259,500,"NEG",6
386.764,500,"NEG",6
69.2711,500,"NEG",6
80.8163,500,"NEG",6
513.761,500,"NEG",6
80.8163,500,"NEG",6
86.5889,500,"NEG",6
352.128,500,"NEG",6
126.997,500,"NEG",6
34.6356,500,"NEG",6
103.907,500,"NEG",6
34.6356,500,"NEG",6
138.542,500,"NEG",6
450.262,500,"NEG",6
230.904,500,"NEG",6
132.77,500,"NEG",6
173.178,500,"NEG",6
686.939,500,"NEG",6
1668.28,500,"NEG",6
1027.52,500,"NEG",6
23.0904,500,"NEG",6
1114.11,500,"NEG",6
715.802,500,"NEG",6
698.484,500,"NEG",6
10898.7,500,"NEG",6
427.172,500,"NEG",6
230.904,500,"NEG",6
282.857,500,"NEG",6
288.63,500,"NEG",6
398.309,500,"NEG",6
825.481,500,"NEG",6
767.755,500,"NEG",6
346.356,500,"NEG",6
1656.73,500,"NEG",6
1039.07,500,"NEG",6
242.449,500,"NEG",6
1853,500,"NEG",6
2268.63,500,"NEG",6
225.131,500,"NEG",6
6673.12,500,"NEG",6
109.679,500,"NEG",6
3059.47,500,"NEG",6
1010.2,500,"NEG",6
196.268,500,"NEG",6
923.615,500,"NEG",6
184.723,500,"NEG",6
6471.08,500,"NEG",6
438.717,500,"NEG",6
750.437,500,"NEG",6
5154.93,500,"NEG",6
265.539,500,"NEG",6
236.676,500,"NEG",6
1604.78,500,"NEG",6
334.81,500,"NEG",6
738.892,500,"NEG",6
756.21,500,"NEG",6
773.528,500,"NEG",6
831.254,500,"NEG",6
236.676,500,"NEG",6
363.673,500,"NEG",6
248.222,500,"NEG",6
594.577,500,"NEG",6
854.344,500,"NEG",6
259.767,500,"NEG",6
248.222,500,"NEG",6
2349.45,500,"NEG",6
1396.97,500,"NEG",6
917.842,500,"NEG",6
126.997,500,"NEG",6
46.1808,500,"NEG",6
484.898,500,"NEG",6
1518.19,500,"NEG",6
