"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",1,1806.04,74.15048283,3
"A",1,568.982,152.1224828,3
"A",1,150.237,61.70048283,3
"A",1,4836.35,78.64048283,3
"A",1,1563.1,472.1544828,3
"A",1,3778.3,292.8364828,3
"A",1,2422.97,136.9214828,3
"A",1,10337.6,205.9244828,3
"A",1,2151.27,196.1484828,3
"A",1,4091.56,266.5604828,3
"A",1,92.6994,255.2844828,3
"A",1,7112.28,147.3764828,3
"A",1,1959.47,199.4984828,3
"A",1,1259.43,42.51348283,3
"A",1,1355.33,111.4124828,3
"A",1,3947.72,170.4774828,3
"A",1,463.497,87.07748283,3
"A",1,447.514,68.98748283,3
"A",1,4881.1,245.3074828,3
"A",1,2413.38,329.0114828,3
"A",1,7336.04,208.3264828,3
"A",1,4062.79,185.4774828,3
"A",1,6479.37,634.3844828,3
"A",1,60.7341,41.27848283,3
"A",1,1182.72,26.94848283,3
"A",1,1380.9,47.64548283,3
"A",1,5811.29,358.3354828,3
"A",1,2640.33,147.7334828,3
"A",1,11616.2,685.5944828,3
"A",1,3663.22,156.5874828,3
"A",1,2784.18,126.5374828,3
"A",1,7633.32,285.3184828,3
"A",1,885.439,106.9154828,3
"A",1,73.5202,14.76848283,3
