"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0.1,252.526,95.314804535,1
"A",0.1,4299.33,104.100804535,1
"A",0.1,12070.1,344.580804535,1
"A",0.1,6632.8,568.278804535,1
"A",0.1,10331.2,531.253804535,1
"A",0.1,223.757,170.924804535,1
"A",0.1,5776.13,392.969804535,1
"A",0.1,3180.55,148.488804535,1
"A",0.1,12.7861,170.510804535,1
"A",0.1,3676.01,167.953804535,1
"A",0.1,4324.91,109.226804535,1
"A",0.1,447.514,133.624804535,1
"A",0.1,5379.76,100.369804535,1
"A",0.1,5683.43,116.005804535,1
"A",0.1,898.225,199.152804535,1
"A",0.1,1483.19,61.111804535,1
"A",0.1,1847.59,170.564804535,1
"A",0.1,6137.34,148.750804535,1
"A",0.1,153.433,161.135804535,1
"A",0.1,3.19653,65.010804535,1
"A",0.1,3.19653,59.010804535,1
"A",0.1,3567.33,80.788804535,1
"A",0.1,744.792,38.272804535,1
"A",0.1,4839.55,125.500804535,1
"A",0.1,1994.64,300.161804535,1
"A",0.1,239.74,108.277804535,1
"A",0.1,255.722,140.535804535,1
"A",0.1,12706.2,185.151804535,1
"A",0.1,19.1792,19.510804535,1
"A",0.1,10149,206.592804535,1
"A",0.1,3886.98,111.946804535,1
"A",0.1,9666.31,258.409804535,1
"A",0.1,7240.14,393.036804535,1
"A",0.1,3548.15,576.572804535,1
"A",0.1,13844.2,250.072804535,1
"A",0.1,5987.1,277.043804535,1
"A",0.1,12121.2,215.598804535,1
"A",0.1,5389.35,170.627804535,1
