"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0.01,4903.48,532.93073058,1
"A",0.01,6834.18,123.16273058,1
"A",0.01,179.006,152.09573058,1
"A",0.01,4129.92,155.12173058,1
"A",0.01,2218.39,83.95273058,1
"A",0.01,134.254,184.37573058,1
"A",0.01,690.451,68.65473058,1
"A",0.01,9733.44,263.52773058,1
"A",0.01,6479.37,638.08673058,1
"A",0.01,2183.23,128.28373058,1
"A",0.01,24453.5,319.55273058,1
"A",0.01,21816.3,212.36373058,1
"A",0.01,8589.08,400.41773058,1
"A",0.01,1473.6,313.65473058,1
"A",0.01,3365.95,69.23073058,1
"A",0.01,18773.2,191.67773058,1
"A",0.01,3723.96,303.81473058,1
"A",0.01,5402.14,337.61373058,1
"A",0.01,274.902,75.19873058,1
"A",0.01,36878.4,293.42973058,1
"A",0.01,2240.77,409.34973058,1
"A",0.01,1643.02,72.93573058,1
"A",0.01,27630.8,184.28273058,1
"A",0.01,4002.06,158.09873058,1
"A",0.01,11708.9,455.33673058,1
"A",0.01,16203.2,312.84373058,1
"A",0.01,22004.9,147.06173058,1
"A",0.01,14269.3,265.34673058,1
"A",0.01,8883.16,611.51473058,1
