"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0.001,3209.32,53.079395312,3
"A",0.001,2637.14,98.977395312,3
"A",0.001,29299.4,64.982395312,3
"A",0.001,15995.4,164.735395312,3
"A",0.001,4801.19,42.541395312,3
"A",0.001,2448.54,107.973395312,3
"A",0.001,556.196,92.132395312,3
"A",0.001,7294.48,117.813395312,3
"A",0.001,735.202,257.430395312,3
"A",0.001,11903.9,442.322395312,3
"A",0.001,6974.83,161.784395312,3
"A",0.001,1825.22,42.087395312,3
"A",0.001,7598.15,367.925395312,3
"A",0.001,2269.54,63.061395312,3
"A",0.001,3027.11,77.356395312,3
"A",0.001,16951.2,218.873395312,3
"A",0.001,10101,207.066395312,3
"A",0.001,4097.95,128.388395312,3
"A",0.001,48948.5,126.670395312,3
"A",0.001,815.115,143.589395312,3
"A",0.001,8662.6,843.661395312,3
"A",0.001,856.67,111.186395312,3
"A",0.001,10340.8,118.364395312,3
"A",0.001,20163.7,128.198395312,3
"A",0.001,10308.8,98.003395312,3
"A",0.001,15937.9,466.991395312,3
"A",0.001,14569.8,79.764395312,3
