"Drug","Concentration_uM","CalceinArea","SpheroidGFPint_Median","Replicate"
"A",0,20406.7,115.113321887,2
"A",0,21020.4,490.935321887,2
"A",0,6533.71,64.531321887,2
"A",0,48357.1,163.042321887,2
"A",0,33317.4,117.479321887,2
"A",0,30220,178.099321887,2
"A",0,11408.4,103.799321887,2
"A",0,34541.7,164.359321887,2
"A",0,26652.7,100.387321887,2
"A",0,2637.14,263.293321887,2
"A",0,3816.66,185.344321887,2
"A",0,26093.3,138.421321887,2
"A",0,11021.6,192.536321887,2
"A",0,2419.77,54.634321887,2
"A",0,27771.5,111.985321887,2
"A",0,22653.8,209.700321887,2
"A",0,8595.47,205.020321887,2
"A",0,34340.3,209.012321887,2
"A",0,22.3757,110.049321887,2
"A",0,6655.18,129.957321887,2
"A",0,13562.9,97.284321887,2
"A",0,3.19653,205.478321887,2
"A",0,1150.75,466.631321887,2
"A",0,9522.46,91.471321887,2
"A",0,990.925,140.291321887,2
"A",0,2784.18,53.360321887,2
"A",0,1620.64,216.022321887,2
"A",0,5053.71,83.588321887,2
"A",0,2739.43,86.685321887,2
"A",0,1432.05,106.701321887,2
"A",0,1674.98,195.033321887,2
